id	rate1	rate2	rate3	rate4	rate5	rate6	rate7	rate8	rate9	rate10	rate11	rate12	rate13
1069	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1067	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1061	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1045	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1031	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1039	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1097	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1003	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1053	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1035	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1129	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1023	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1025	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1099	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1131	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1013	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1041	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1109	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1087	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1085	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1101	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1051	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1001	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1047	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1091	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1119	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1105	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1021	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1037	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1123	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1027	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1121	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1117	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1007	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1065	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1063	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1107	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
1125	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1073	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1127	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1075	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1057	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1059	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1093	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1133	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1043	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1009	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1115	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1015	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1055	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1095	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1103	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1079	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1033	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1077	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1083	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1089	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1071	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6	0.6
1049	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6	0.6
1019	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6	0.6
1029	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1111	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1017	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1081	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1113	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
1005	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
5017	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
5003	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6
5115	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5101	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5087	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5047	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5071	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5083	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5149	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5105	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5029	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5045	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5141	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5129	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5137	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5023	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5145	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5063	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5067	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5147	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5123	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5035	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5037	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5111	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5093	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5031	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5065	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5075	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5135	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5055	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5021	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5121	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5049	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5005	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5089	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5009	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5015	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5007	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5143	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5033	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5131	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5127	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5097	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5051	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
5125	0.01	0.01	0.01	0.01	0.01	0.01	0.1	0.2	0.3	0.4	0.5	0.6	0.6
